No,Business Name,Category,Budget Tier,Has Website,Phone,Phone Type,Ask For,Offer to lead with,Address,Distance from city centre,City,Called,Result,Next Step
195,Komodo Builders Inc,Construction,A,Yes,9063619064,Mobile,Owner / proprietor,Quote Builder + Firm Site,"2F A10, J&G Town Center, Mabuhay, General Santos City",,General Santos,Not called,,Email: info@komodobuildersinc.com. FB: komodobuildersinc
196,InnoStruct,Construction,A,No,9168717456,Mobile,Owner / proprietor,Quote Builder + Firm Site,General Santos City,,General Santos,Not called,,Structural engineering & masonry contractor. FB page: InnoStruct
197,Mga Contractor sa Gensan,Construction,A,No,9481177064,Mobile,Owner / proprietor,Quote Builder + Firm Site,"Bula, General Santos City",,General Santos,Not called,,FB page: Mga Contractor sa Gensan
198,KAD-TECH Engineering Services,Construction,A,Yes,9988635902 / 9453205297,Mobile,Owner / proprietor,Quote Builder + Firm Site,"Brgy. San Isidro, General Santos City",,General Santos,Not called,,Site: kadtech-engineering.com
199,Vinson Engineering Services,Construction,A,No,9488586998 / 9424985311,Mobile,Owner / proprietor,Quote Builder + Firm Site,General Santos City,,General Santos,Not called,,Home builder. X: @vinsonhomebuild
200,Dumalag Surveying and Engineering Services,Construction,A,No,9302270196,Mobile,Owner / proprietor,Quote Builder + Firm Site,"G. Misa Street, Lagao, General Santos City",,General Santos,Not called,,Ask for Lorena. Landline (083) 305-2747
201,JCML Hardware and Construction Supply Inc.,Building materials,A,No,9175762904 / 9554759591,Mobile,Owner / proprietor,Quote Builder + Found on Google,"Purok 22, Dacera Ave., Brgy. Mabuhay, General Santos City",,General Santos,Not called,,Landline (083) 887-8061. Accepts delivery orders
202,AB Vision Engineering Construction,Construction,A,No,(083) 552-8794,Landline,Owner / proprietor,Quote Builder + Firm Site,"Bethel Road, Romana Estate 1, General Santos City",,General Santos,Not called,,Landline only - get owner mobile from FB: ABVisionEngineeringConstruction
203,Dynamic Team Hardware & Construction Supply,Building materials,A,No,(083) 301-1507,Landline,Owner / proprietor,Quote Builder + Found on Google,"I. Santiago Blvd., Brgy. Lagao, General Santos City",,General Santos,Not called,,Landline only - ask for owner mobile
204,"Dadiangas Glass & Construction Depot, Inc.",Building materials,A,No,(083) 826-1088,Landline,Owner / proprietor,Quote Builder + Found on Google,"Dadiangas Glass Bldg., I. Santiago Blvd., Brgy. Lagao, General Santos City",,General Santos,Not called,,Landline only. FB: DGCDMain
205,JY Enterprises Incorporated,Construction,A,Yes,(083) 552-7782,Landline,Owner / proprietor,Quote Builder + Firm Site,"Hadano Ave., Brgy. Labangal, General Santos City",,General Santos,Not called,,Heavy equipment rental / trucking. Site: jyenterprisesinc.com
206,AMOR Prime Builders,Construction,A,No,,,Owner / proprietor,Quote Builder + Firm Site,General Santos City,,General Santos,Not called,,No number found - check FB page: AMOR Prime Builders
207,Cainan Builders,Construction,A,No,,,Owner / proprietor,Quote Builder + Firm Site,General Santos City,,General Santos,Not called,,"Construction materials, heavy equipment rental, engineering. No number - check FB"
208,Tensouth Builders and Construction Services,Construction,A,No,,,Owner / proprietor,Quote Builder + Firm Site,General Santos City,,General Santos,Not called,,"Low-budget house construction, renovation. No number - FB: tenexPC"
209,KentStruct Engineering Services,Construction,A,No,,,Owner / proprietor,Quote Builder + Firm Site,General Santos City,,General Santos,Not called,,No number - FB: kentstructengineering
210,Swift Engineering Services,Construction,A,No,,,Owner / proprietor,Quote Builder + Firm Site,General Santos City,,General Santos,Not called,,No number - FB: SEservices2021
211,Engineering Services by Engr. Sales and Associates,Construction,A,No,,,Owner / proprietor,Quote Builder + Firm Site,General Santos City,,General Santos,Not called,,"Civil, plumbing, electrical, mechanical. No number - FB: engrbrsales"
212,AA-Matrix Construction Supplies and Engineering Services,Construction,A,No,,,Owner / proprietor,Quote Builder + Firm Site,"No. 58 Atis St., Dadiangas West, General Santos City",,General Santos,Not called,,No number found - walk-in or search FB
213,"Fanvill Hardware, Inc.",Building materials,A,No,,,Owner / proprietor,Quote Builder + Found on Google,"Minerva Bldg., cor. ODI St. & J. Catolico Sr. Ave., Brgy. Lagao, General Santos City",,General Santos,Not called,,No number - FB: FanvillHardwareGensan
214,Matutum Hardware - Calumpang,Building materials,A,Yes,,,Owner / proprietor,Quote Builder + Found on Google,"Nat'l Highway, Calumpang (beside Riavin Gas Station), General Santos City",,General Santos,Not called,,No number for this branch. Site: matutumhardware.com
215,Josiah Steel,Building materials,A,No,,,Owner / proprietor,Quote Builder + Found on Google,General Santos City,,General Santos,Not called,,"Roofing, trusses, steel decking. Email: josiahsteel@gmail.com"
