No,Business Name,Category,Budget Tier,Has Website,Phone,Phone Type,Ask For,Offer to lead with,Address,Distance from city centre,City,Called,Result,Next Step
173,Gensan Design & Build Enterprise,Construction,A,No,9473895235,Mobile,Owner / proprietor,Quote Builder + Firm Site,"Bula, General Santos City",,General Santos,Not called,,Email: gensann.db.enterprise@gmail.com. FB: GENSANNdesignBUILDent
174,MCS Builders,Construction,A,No,9985366179,Mobile,Owner / proprietor,Quote Builder + Firm Site,"Corner Quezon Avenue, Brgy. West, General Santos City",,General Santos,Not called,,Email: mcsbuilders123@gmail.com. FB: mcsbuilders
175,Greenleaf Hotel Gensan,Hotel / resort,A,Yes,9177198977,Mobile,GM or marketing head,Firm Site + Front Desk booking,"San Miguel St. corner J. Catolico St., General Santos City",,General Santos,Not called,,Landline (083) 552-1111
176,London Beach Resort and Hotel,Hotel / resort,A,Yes,9173035246 / 9694906147,Mobile,GM or marketing head,Firm Site + Front Desk booking,"Purok Darussalam, Brgy. Bawing, General Santos City",,General Santos,Not called,,Landline (083) 878-2966
177,The Secret Spot Exclusive Resort,Hotel / resort,A,No,9659919810,Mobile,GM or marketing head,Firm Site + Front Desk booking,"Block 2, Paseo De Paz, Brgy. San Isidro, General Santos City",,General Santos,Not called,,FB: secretspotexclusiveresort
178,Driggs Pension House,Hotel / resort,A,No,9173089731,Mobile,GM or marketing head,Firm Site + Front Desk booking,General Santos City,,General Santos,Not called,,
179,Luxor 1 Traveller's Inn,Hotel / resort,A,No,9176331234,Mobile,GM or marketing head,Firm Site + Front Desk booking,General Santos City,,General Santos,Not called,,Landline 302-2888. Old directory listing - verify
180,Macs Apartelle,Hotel / resort,A,No,9055650415,Mobile,GM or marketing head,Firm Site + Front Desk booking,General Santos City,,General Santos,Not called,,Old directory listing - verify
181,Samantha's Apartelle,Hotel / resort,A,No,9223500567 / 9163704244,Mobile,GM or marketing head,Firm Site + Front Desk booking,General Santos City,,General Santos,Not called,,Landline (083) 301-9128. Old directory listing - verify
182,Ryan Cars GenSan,Car dealer,A,No,9566329208,Mobile,Dealer principal / marketing,Quote Builder + Firm Site,"In front of Gulf Gas Station, Phase 1 Maunlad, National Hwy, Apopong, General Santos City",,General Santos,Not called,,FB: iamryanpaul (used cars)
183,Royal Cargo - General Santos Branch,Logistics,A,Yes,9178203978,Mobile,Owner / operations head,Quote Builder + Client Portal,"2/F Door 6, Almudi Bldg., National Highway, Brgy. Calumpang, General Santos City",,General Santos,Not called,,Branch contact: warlito.siga@royalcargo.com. National company - ask for branch head
184,Mira Aesthetic Clinic,Dermatologist,A,No,9330878005,Mobile,Doctor owner,Front Desk booking + Firm Site,"Phil-Am Ave. corner MSU Ave., Brgy. Tambler, General Santos City",,General Santos,Not called,,
185,Specialists Clinic & Diagnostic Laboratory (SCDL) - Gensan,Medical center,A,Yes,9433974104,Mobile,Clinic administrator,Intake Desk + Firm Site,"GF Juduta Bldg., Jose Catolico Sr. Ave., Brgy. Lagao, General Santos City",,General Santos,Not called,,Email: scdladmdept@gmail.com
186,"St. Elizabeth Hospital, Inc.",Hospital,A,Yes,9946015670,Mobile,Hospital administrator,Intake Desk + Firm Site,"National Highway corner I. Santiago Blvd., General Santos City",,General Santos,Not called,,Number is Dental Clinic line; main (083) 552-3162
187,OroDento Dental Clinic,Dental clinic,A,No,9705489905,Mobile,Dentist owner,Front Desk booking + Firm Site,"2F Hyatt Diagnostic Bldg., Camias cor. Crisologo St., Dadiangas East, General Santos City",,General Santos,Not called,,Landline (083) 554-7671
188,Vasquez Dental Clinic,Dental clinic,A,No,9102637098,Mobile,Dentist owner,Front Desk booking + Firm Site,"2F Almar Bldg., Magsaysay Ave., General Santos City",,General Santos,Not called,,
189,The Smile Avenue Dental Clinic,Dental clinic,A,No,9317366045,Mobile,Dentist owner,Front Desk booking + Firm Site,"Crisologo St., General Santos City",,General Santos,Not called,,
190,Artemis Veterinary Clinic - Gensan,Veterinary clinic,A,No,9363187553,Mobile,Vet owner,Front Desk booking + Firm Site,"Mabuhay Rd., Crest Shelter Subd., San Isidro, General Santos City",,General Santos,Not called,,
191,Animal Practice Clinic - Gensan,Veterinary clinic,A,No,9497118903,Mobile,Vet owner,Front Desk booking + Firm Site,"Mabuhay Rd., General Santos City",,General Santos,Not called,,Also Dacera Bldg. branch (083) 554-3540
192,Dadiangas Heights Veterinary Clinic,Veterinary clinic,A,No,9487457125,Mobile,Vet owner,Front Desk booking + Firm Site,"Dadiangas Heights, General Santos City",,General Santos,Not called,,
193,Restor Catering & Events,Events / catering,A,No,9538356300,Mobile,Owner,Firm Site + Inquiry Desk,General Santos City,,General Santos,Not called,,FB: RestorCatering
194,Yolach's Venue and Catering,Events / catering,A,No,9228435582,Mobile,Owner,Firm Site + Inquiry Desk,"Hangar, Brgy. Mabuhay, General Santos City",,General Santos,Not called,,Landline (083) 552-0483. Hall 50-400 pax
